principioactivo,concentracion,formafarmaceutica
ACEITE ESENCIAL DE EUCALIPTO + MENTOL  + ALCANFOR + SALICILATO DE METILO,NO REPORTA,UNGÜENTO TÓPICO
ACEITE ESENCIAL DE EUCALIPTO + MENTOL  + ALCANFOR + SALICILATO DE METILO,6 G + 4 5 G + 4 5 G +8 G / 100 G,UNGÜENTO TÓPICO
ACEITE ESENCIAL DE EUCALIPTO + MENTOL  + ALCANFOR + TRIMENTINA,6 G + 5 G + 3 G +4 8 G / 100 G,UNGÜENTO TÓPICO
ACEITE DE HÍGADO DE PESCADO + OXIDO DE ZINC,20 G + 27 G /100 G,CREMA TÓPICA
ACETAMINOFÉN,HASTA LA CONCENTRACIÓN DE 500 MG,TODAS LAS PRESENTACIONES POR VÍA ORAL
ACETAMINOFÉN,3 2G / 100ML,JARABE
ACETAMINOFÉN,5G / 100ML,JARABE
ACETAMINOFÉN,500MG,TABLETA
ACETAMINOFÉN,250MG,SUPOSITORIO
ACETAMINOFÉN,325MG,TABLETA
ACETAMINOFÉN,125MG,GRANULADO-SACHET
ACETAMINOFÉN,250MG,GRANULADO-SACHET
ACETAMINOFÉN,325MG,GRANULADO-SACHET
ACIDO BÓRICO,5 G / 100 G,POLVO
ACIDO FÓLICO,400 MG,TABLETA
ACIDO HIPOCLOROSO,0 046G  EQUIVALENTE A 500PPM DE CLORO  / 100 ML,SOLUCION TOPICA
ACIDO SALICÍLICO,0 57G,PARCHE
ALCANFOR + MENTOL,3 G + 2 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + MENTOL,9 G + 1 35 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + MENTOL,4 G + 12 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + MENTOL + FENOL,1 % + 0 6 % + 0 5 %,PASTA
ALCANFOR + MENTOL + SALICILATO DE METILO,3 G + 4 G + 14 G / 100 G,PARCHE
ALCANFOR + MENTOL + SALICILATO DE METILO,36 MG + 33 MG + 7 1 MG,PARCHE
ALCANFOR + MENTOL + SALICILATO DE METILO,28 MG + 131 MG + 144 MG,PARCHE
ALCANFOR + MENTOL + SALICILATO DE METILO,3 95 % + 0 975% + 1 475%,UNGÜENTO
ALCANFOR + ÓXIDO DE ZINC,0 1 G + 8 G / 100 ML,SUSPENSIÓN TÓPICA
ALCANFOR + YODO METALICO + SALICILATO DE METILO + MENTOL + ALCANFOR,0 5 G + 2 G + 5 G + 0 5 G  / 100 G,UNGÜENTO TÓPICO
ALCANFOR + YODO METALICO + SALICILATO DE METILO + MENTOL + ALCANFOR,1 G + 10 G + 12 G + 1 G  / 100 ML,SOLUCIÓN TÓPICA
ALCANFOR + MENTOL  + SALICILATO DE METILO + TREMENTINA,4 G + 5 G + 2 5 G + 4 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + MENTOL  + SALICILATO DE METILO + TREMENTINA,2 6 G  + 4 3 G + 5 2 G + 13 1 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + MENTOL  + SALICILATO DE METILO + TREMENTINA,4 G+ 3 G + 6 G + 2 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + MENTOL  + SALICILATO DE METILO + TREMENTINA,4 3 G + 4 3 G + 13 G + 12 G / 100  G,SOLUCIÓN TÓPICA
ALCANFOR + MENTOL  + SALICILATO DE METILO + TREMENTINA,13 G + 4 3 G + 4 3 G + 16 2 G / 100 G,SOLUCIÓN TÓPICA
ALCANFOR + SALICILATO DE METILO + MENTOL +  TREMENTINA + EUCALIPTOL,8 G + 2 G + 3 G + 8 G+5MG  / 100 ML,LIQUIDO OLEOSO  ACEITE
