principio_activo,unidad_de_dispensacion,concentracion,unidad_base,nombre_comercial,fabricante,factoresprecio,numerofactor
abacavir,Tableta o cápsula,abacavir 300 mg,mg,Abacar,Hetero Labs,Medio,2
abacavir,Solución o suspensión oral,abacavir 2 g,ml,Abacar,Hetero Labs,Medio,2
abacavir,Tableta o cápsula,abacavir 300 mg,mg,Abacavir,Humax,Medio,2
abacavir,Tableta o cápsula,abacavir 300 mg,mg,Abacavir,Legrand,Alto,3
abacavir,Tableta o cápsula,abacavir 300 mg,mg,Abacar,Hetero Labs,Medio,2
abacavir,Solución o suspensión oral,abacavir 2 g,ml,Abacar,Hetero Labs,Medio,2
abacavir,Tableta o cápsula,abacavir 300 mg,mg,Abacavir,Saluspharma,Bajo,1
abacavir + lamivudina,Tableta o cápsula,lamivudina 300 mg + abacavir 600 mg,mg,Diviral,Legrand,Alto,3
abacavir y lamivudina,Tableta o cápsula,lamivudina 300 mg + abacavir 600 mg,mg,Abalam,Hetero Labs,Medio,2
abacavir y lamivudina,Tableta o cápsula,lamivudina 300 mg + abacavir 600 mg,mg,Abacavir Y Lamivudina,Saluspharma,Medio,2
abacavir y lamivudina,Tableta o cápsula,lamivudina 300 mg + abacavir 600 mg,mg,Abalam,Hetero Labs,Medio,2
abacavir y lamivudina,Tableta o cápsula,lamivudina 300 mg + abacavir 600 mg,mg,Tolamid,Cipla,Bajo,1
abatacept,Polvo para reconstituir a Solución o suspensión inyectable,abatacept 250 mg,mg,Orencia,Bristol Myers Squibb,Medio,2
abatacept,Solución o suspensión inyectable,abatacept 125 mg,ml,Orencia,Bristol Myers Squibb,Medio,2
abemaciclib,Tableta o cápsula,abemaciclib 150 mg,mg,Verzenio,Eli Lilly,Medio,2
abemaciclib,Tableta o cápsula,abemaciclib 50 mg,mg,Verzenio,Eli Lilly,Medio,2
abemaciclib,Tableta o cápsula,abemaciclib 100 mg,mg,Verzenio,Eli Lilly,Medio,2
abiraterona,Tableta o cápsula,abiraterona 250 mg,mg,Zytiga,Janssen,Alto,3
abiraterona,Tableta o cápsula,abiraterona 500 mg,mg,Zytiga,Janssen,Medio,2
abiraterona,Tableta o cápsula,abiraterona 250 mg,mg,Zyvalix,Lkm,Bajo,1
abiraterona,Tableta o cápsula,abiraterona 250 mg,mg,Zytiga,Janssen,Alto,3
abiraterona,Tableta o cápsula,abiraterona 500 mg,mg,Zytiga,Janssen,Medio,2
abiraterona,Tableta o cápsula,abiraterona 250 mg,mg,Zyvalix,Lkm,Bajo,1
abiraterona,Tableta o cápsula,abiraterona 250 mg,mg,Teronred,Dr Reddys,Alto,3
abiraterona,Tableta o cápsula,abiraterona 250 mg,mg,Biranona,Legrand,Medio,2
abiraterona,Tableta o cápsula,abiraterona 250 mg,mg,Arabitro,Glenmark,Medio,2
abiraterona,Tableta o cápsula,abiraterona 250 mg,mg,Abirand,Msn Laboratories Private,Bajo,1
acalabrutinib,Tableta o cápsula,acalabrutinib 100 mg,mg,Calquence,Astrazeneca,Medio,2
acebrofilina,Cremas o geles o ungüentos o pomadas o pastas o jaleas,"acebrofilina 0,5 g",ml,Filinar G,Eurofarma,Medio,2
acebrofilina,Cremas o geles o ungüentos o pomadas o pastas o jaleas,"acebrofilina 0,5 g",ml,Filinar G,Eurofarma,Medio,2
aceclofenaco,Tableta o cápsula,aceclofenaco 100 mg,mg,Ainedix Ac,Labquifar,Medio,2
aceite de oliva y aceite de soya,Emulsión inyectable,mezcla de aceite de oliva (80%) y aceite de soya(20%) 20 g,ml,Clinoleic,Baxter,Medio,2
aceite de oliva y aceite de soya,Emulsión inyectable,mezcla de aceite de oliva (80%) y aceite de soya(20%) 20 g,ml,Clinoleic,Baxter,Medio,2
aceite de soya y emulsiones lipidas,Emulsión inyectable,emulsiones lipidas 10 g + aceite de soya 10 g,ml,Lipofundin,Braun Melsungen,Medio,2
aceite de soya y emulsiones lipidas,Emulsión inyectable,emulsiones lipidas 10 g + aceite de soya 10 g,ml,Lipofundin,Braun Melsungen,Medio,2
acemetacina,Tableta o cápsula,acemetacina 60 mg,mg,Meravill,Anzg,Medio,2
acemetacina,Tableta o cápsula,acemetacina 60 mg,mg,Meravill,Anzg,Medio,2
acetaminofen,Solución o suspensión oral,acetaminofen 10 g,ml,Acetaminofen,Sanofi Aventis,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,Tecnoquimicas,Medio,2
acetaminofen,Solución o suspensión oral,acetaminofen 150 mg,ml,Dolicox,Patmar,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Dolicox,Patmar,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Acetaminofen,American Generics,Bajo,1
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,American Generics,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Catalac,Coopidrogas,Bajo,1
acetaminofen,Jarabe,acetaminofen 3 mg,ml,Catalac,Coopidrogas,Medio,2
acetaminofen,Solución o suspensión oral,acetaminofen 100 mg,ml,Acelifen,Comerfar,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 325 mg,mg,Dolotrin,Licol,Medio,2
acetaminofen,Solución o suspensión oral,acetaminofen 100 g,ml,Dolinfar,Farmacoop,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Acetaminofen,Pentacoop,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 325 mg + oxicodona-naloxona 5 mg,mg,Senidol,Legrand,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Nadorex,Best,Bajo,1
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,Laproff,Bajo,1
acetaminofen,Solución o suspensión oral,acetaminofen 100 mg,ml,Dolpirin A,Biochem,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 325 mg + n- butil bromuro de hioscina 10 mg,mg,Acetaminofen + N-Butil Bromuro De Hioscina,Memphis,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Dolpirin A,Biochem,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,Pentacoop,Bajo,1
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Dolex Avanzado,Glaxosmithkline,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Dolpirin,Biochem,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Nadorex,Best,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Acetaminofen,Memphis,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,Memphis,Bajo,1
acetaminofen,Solución o suspensión inyectable,acetaminofen 10 mg,ml,Traucet,Corpaul,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Sanafen,Lebriut,Bajo,1
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Sanafen,Lebriut,Bajo,1
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,Biofluidos & Farma,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Cronofen,Novamed,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Cronofen,Novamed,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Dolex Activgel,Glaxosmithkline,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Dolex,Glaxosmithkline,Medio,2
acetaminofen,Solución o suspensión oral,acetaminofen 3200 mg,ml,Octalgina,Biofluidos & Farma,Medio,2
acetaminofen,Solución o suspensión oral,acetaminofen 100 mg,ml,Sanafen Gotas,Lebriut,Bajo,1
acetaminofen,Jarabe,acetaminofen 3 g,ml,Prodol,Bioquimico Pharma,Medio,2
acetaminofen,Solución o suspensión oral,acetaminofen 100 mg,ml,Cronofengotas,Novamed,Alto,3
